name,dlib74
notes,74-point template from face_recognition in python
delin_pts,0;1;59
align_pts,0;1
width,1350
height,1350
points,74
lines,13

n,name,x,y,sym
0,left_eye_center,570,612,1
1,right_eye_center,780,614,0
2,contour_left1,445,596,18
3,contour_left3,444,627,17
4,contour_left5,444,658,16
5,contour_left7,447,689,15
6,contour_left9,451,720,14
7,contour_left11,457,750,13
8,contour_left13,464,780,12
9,contour_left15,472,810,11
10,contour_chin,483,840,10
11,contour_right1,496,867,9
12,contour_right3,513,893,8
13,contour_right5,533,917,7
14,contour_right7,557,938,6
15,contour_right9,583,956,5
16,contour_right11,612,971,4
17,contour_right13,645,981,3
18,contour_right15,682,984,2
19,left_eyebrow_left_corner,718,981,28
20,left_eyebrow_upper_left_quarter,751,971,27
21,left_eyebrow_upper_middle,779,956,26
22,left_eyebrow_upper_right_quarter,805,937,25
23,left_eyebrow_upper_right_corner,826,915,24
24,right_eyebrow_upper_left_corner,845,891,23
25,right_eyebrow_upper_left_quarter,861,864,22
26,right_eyebrow_upper_middle,873,835,21
27,right_eyebrow_upper_right_quarter,882,806,20
28,right_eyebrow_right_corner,890,775,19
29,nose_bridge1,896,744,29
30,nose_bridge2,901,714,30
31,nose_bridge3,905,683,31
32,nose_tip,907,652,32
33,nose_left_contour1,907,621,37
34,nose_left_contour2,905,589,36
35,nose_middle_contour,525,619,35
36,nose_right_contour2,542,605,34
37,nose_right_contour1,566,599,33
38,left_eye_left_corner,594,604,47
39,left_eye_upper_left_quarter,616,623,46
40,left_eye_upper_right_quarter,592,627,45
41,left_eye_right_corner,566,631,44
42,left_eye_lower_right_quarter,543,627,49
43,left_eye_lower_left_quarter,570,612,48
44,right_eye_left_corner,735,625,41
45,right_eye_upper_left_quarter,756,606,40
46,right_eye_upper_right_quarter,784,598,39
47,right_eye_right_corner,809,605,38
48,right_eye_lower_right_quarter,828,620,43
49,right_eye_lower_left_quarter,809,629,42
50,mouth_left_corner,785,633,56
51,mouth_upper_lip_left_contour2,759,630,55
52,mouth_upper_lip_left_contour1,780,614,54
53,mouth_upper_lip_top,485,577,53
54,mouth_upper_lip_right_contour1,510,545,52
55,mouth_upper_lip_right_contour2,549,533,51
56,mouth_right_corner_upper,592,539,50
57,mouth_upper_lip_right_contour3,628,556,61
58,mouth_upper_lip_right_contour4,625,573,60
59,mouth_upper_lip_bottom,587,560,59
60,mouth_upper_lip_left_contour4,549,551,58
61,mouth_upper_lip_left_contour3,516,557,57
62,mouth_right_corner_lower,722,571,68
63,mouth_lower_lip_right_contour2,718,556,67
64,mouth_lower_lip_right_contour3,754,540,66
65,mouth_lower_lip_bottom,796,531,65
66,mouth_lower_lip_left_contour3,837,539,64
67,mouth_lower_lip_left_contour2,866,570,63
68,mouth_left_corner_lower,832,552,62
69,mouth_lower_lip_left_contour0,797,548,73
70,mouth_lower_lip_left_contour1,759,558,72
71,mouth_lower_lip_top,675,608,71
72,mouth_lower_lip_right_contour1,675,644,70
73,mouth_lower_lip_right_contour0,675,681,69

n,linetype,color,points
0,open,default,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
1,open,default,"19,20,21,22,23"
2,open,default,"24,25,26,27,28"
3,open,default,"29,30,31,32,35"
4,open,default,"33,34,35,36,37"
5,open,default,"38,39,40,41"
6,open,default,"41,42,43,38"
7,open,default,"44,45,46,47"
8,open,default,"47,48,49,44"
9,open,default,"50,51,52,53,54,55,56"
10,open,red,"57,58,59,60,61"
11,open,default,"62,63,64,65,66,67,68"
12,open,default,"69,70,71,72,73"

mask,points
left_eye,"38,39,40,41;41,42,43,38"
right_eye,"44,45,46,47;47,48,49,44"
mouth,"50,51,52,53,54,55,56;56,62;62,63,64,65,66,67,68;68,50"
teeth,"57,58,59,60,61;61,69;69,70,71,72,73;73,57"
face,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,26,21,2"
